timestamp,pid,mem_available_kb,swap_used_kb,vmrss_kb,vmswap_kb,rssanon_kb,rssfile_kb,checkpoint_mtime_epoch
2026-07-08T01:26:44+08:00,441,6707872,0,4134508,0,2560740,1493892,1783445050
2026-07-08T01:27:14+08:00,441,6708972,0,4138124,0,2560900,1497348,1783445216
