timestamp,pid,mem_available_kb,swap_used_kb,vmrss_kb,vmswap_kb,rssanon_kb,rssfile_kb,checkpoint_mtime_epoch
2026-07-08T01:22:58+08:00,441,6629004,0,4173656,0,2635772,1458008,1783444885
2026-07-08T01:23:28+08:00,441,6632128,0,4179424,0,2635780,1463768,1783444885
